penalty_cost,holding_cost,cost_ratio,nn_cost,nn_std,base_stock_cost,base_stock_std,myopic_cost,myopic_std,nn_vs_base_stock,nn_vs_myopic
10.0,1.0,10.0,6446.4,1647.5183883647553,5821.26,1905.9440423055446,5202.53,1889.5812152696692,10.738912194267215,23.90894430209918
15.0,1.0,15.0,9386.56,2581.2637924861533,8631.71,2464.982443324901,7258.13,2509.639837327261,8.745080638714708,29.32477098095514
20.0,1.0,20.0,12399.14,3689.379996747421,11122.52,3488.5044717758346,10033.47,3751.347380488776,11.477794600504199,23.577785153092613
30.0,1.0,30.0,16617.08,5362.388905478602,14286.27,5680.7331302482435,15363.53,5693.97486902603,16.315035345125082,8.15925767060044
10.0,2.0,5.0,8270.5,1488.8306384542198,6657.9,1591.1887725848246,5302.76,1787.9284052780195,24.220850418300067,55.965949807270164
10.0,3.0,3.3333333333333335,9566.62,1297.697574783894,7498.88,1342.2615041786753,5063.34,1817.4999159284714,27.57398438166767,88.93892173940523
10.0,5.0,2.0,12416.2,949.5430795914423,8844.05,868.3604363972372,4791.3,1815.1105503522367,40.39043198534611,159.1405255358671
15.0,2.0,7.5,10464.06,2639.3032899611976,9483.49,2419.130027489221,7715.47,2910.3169052699395,10.339758886232797,35.62440136504969
20.0,3.0,6.666666666666667,15222.13,3053.5927320289456,12164.09,3374.592094150047,10291.25,4322.154401163845,25.139899491042893,47.91332442609011
30.0,5.0,6.0,23415.8,5318.803705721803,19282.55,5126.337069243496,14814.3,6406.455377976186,21.435183624572485,58.062142659457415
